Id,Designator,Footprint,Quantity,Designation,Mouser Part Number,eBay Supplier,
1,"C6,C4,C5,C9,C7,C10,C8",C_Disc_D3.4mm_W2.1mm_P2.50mm,7,100 nF,810-FG18X7R1H104KNT6,,
2,"TP2,TP1",TestPoint_Pad_D2.0mm,2,TestPoint,-,-,
3,U3,DIP-20_W7.62mm_Socket,1,74HCT245,595-SN74HCT245N,,
4,"U7,U8",DIP-20_W7.62mm_Socket,2,74HCT688,595-CD74HCT688E,,
5,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,603-CFR25SJT-52A10K,,
6,"U5,U4",DIP-20_W7.62mm_Socket,2,74HCT374,595-SN74HCT374N,,
7,RV1,Potentiometer_Vishay_T73YP_Vertical,1,100K,72-T70YP-100K,,
8,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1K8,603-CFR-25JT-52-1K8,,
9,U1,DIP-28_W15.24mm_Socket,1,TMS5220C,-,,
10,U2,DIP-24_W7.62mm_Socket,1,ATF22V10C,556-AF22V10C7PX,,
11,CN1,PinHeader_2x16_P2.54mm_Horizontal,1,~,538-90122-0128,,
12,C1,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,1 µF,594-K105M20X7RF53H5,,
13,RN1,R_Array_SIP5,1,10K,652-4605M-1LF-10K,,
14,J1,Jack_3.5mm_CUI_SJ1-3523N_Horizontal,1,AudioJack3,490-SJ1-3523N,,
15,U6,DIP-14_W7.62mm_Socket,1,74HCT74,595-SN74HCT74N,,
16,P1,-5V_Converter,1,~,-,https://www.ebay.com/itm/333623420733,
17,C2,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,0.22 µF,594-K224K20X7RF5UH5,,
18,C3,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,10 pF,594-K100J15C0GH5TL2,,